AARON,To sing,
ABBIE,From the name ABIGAIL,
ABBOTT,Father,
ABBRA,Example,
ABBY,From the name ABIGAIL,
ABE,From the name ABRAHAM,
ABEL,A Breath,
ABENI,Girl Prayed For (Af),
ABIA,Great,
ABIBA,Child born after grandmother Died (Af),
ABIE,From the name ABRAHAM,
ABIGAIL,Father of Joy,
ABNER,Father of Light,
ABRAHAM,Father of a Multitude,
ABRAM,High Father,
ABRIANNA,Mother of Many Nations,
ABRIENDA,Opening (Sp),
ABRIL,April (Lt),
ABSOLOM,My Father is Peace,
ABU,Father (Af),
ACACIA,Thorny,
ACE,Unity,
ADA,From the name ADELAIDE,
ADAH,Beautiful Addition,
ADAIR,Noble,
ADALIA,God is my Refuge,
ADAM,The Earth,
ADAMINA,Fem. form of ADAM,
ADAMMA,Beautiful Child,
ADARA,Chaste One,
ADDISON,Son of Adam,
ADE,Crown,
ADELA,Noble and Serene,
ADELAIDE,Noble,
ADELE,Noble,
ADELINE,Noble,
ADELIO,Father of the Noble Prince (Sp),
ADELLE,Noble,
ADEM,Red Earth (Af),
ADEN,Fiery One,
ADERES,Clothes Worn on Outside,
ADIE,Decoration,
ADIEL,Goat (Af),
ADILA,Just,
ADINA,Noble,
ADITA,Basket (Af),
ADLAI,My Witness,
ADLI,Just,
ADOLFO,From the name ADOLPH,
ADOLPH,Wolf,
ADONAI,My Lord (Hb),
ADONIA,From ADONIS,
ADORA,Beloved One,
ADRIAN,(M)Dark,
ADRIANA,From the name ADRIENNE,
ADRIANO,Native of Adria (Greek City),
ADRIENNE,(F)Dark,
ADY,From the name ADELAIDE,
AELAN,Flower,
AFFRICA,From the name AFRICA,
AFRA,Female Deer,
AFRIC,Pleasant,
AFRICA,Pleasant,
AFTON,From the Afton River,
AGAMEMNON,Resolute,
AGATHA,Good,
AGGIE,From the name AGATHA,
AGNES,Pure,
AH CY,Lovely (Ch),
AHAVA,Cherished One (Hb),
AI,Love (Jp),
AIDA,Helper,
AIDAN,Little Fire,
AIKO,Beloved One (Jp),
AILEEN,Form of EILEEN,
AILIS,Noble,
AILISH,Form of ELIZABETH,
AIMEE,From the name AMY,
AINE,Joy,
AINSLEY,My Own Meadow,
AISLING,Vision,
AISLINN,A Dream (Ir),
AIZZA,Life,
AJA,Goat,
AJANI,He Who Wins the Struggle (Af),
AJAY,From A.J.or Nat.Am name meaning Unconquerable,
AKILI,Wisdom,
AKUJI,Dead and Awake (Af),
AL,From the name ALBERT,
ALAIR,Cheerful/Merry,
ALAKE,One to be Honored (Af,
ALAN,Handsome,
ALANA,Fair,
ALANNA,Form of ALANA,
ALASTAIR,From the name ALEXANDER (Br),
ALAURA,From LAURA,
ALBAN,White,
ALBANY,White,
ALBERT,Noble,
ALBERTA,From the name ALBERT,
ALBERTO,Form of ALBERT (Sp),
ALBIN,White (Po),
ALBINA,White-Skinned,
ALDA,Long Lived,
ALDAN,Of Old Age,
ALDEN,Of Old Age,
ALDON,Of Old Age,
ALDONA,Old (Po),
ALEC,From the name ALEXANDER,
ALEJANDRO,Protector,
ALEM,Worl (Af),
ALENA,Form of HELEN,
ALETA,From the name ALETHEA,
ALETHA,Truth,
ALETHEA,Truthful One,
ALETTA,Winged One,
ALEX,From the name ALEXANDER,
ALEXA,From the name ALEXANDER,
ALEXANDER,Protector of Men,
ALEXANDRA,From the name ALEXANDER,
ALEXANDRIA,Defender of Mankind,
ALEXIA,Defender of Mankind,
ALEXIS,From the name ALEX,
ALFONSO,From the name ALPHONSE,
ALFRED,Counselor,
ALGERON,Bearded One (Fr),
ALI,Noble,
ALIA,Noble,
ALICE,Truth,
ALICIA,Truthful,
ALIJAH,FROM ELIJAH,
ALIKA,Truthful,
ALIMA,Heart Sings & Dances,
ALINA,Form of ADELINE,
ALISHA,From the name ALICE,
ALISON,Of Noble Birth,
ALISSA,From the name ALICE,
ALIZE,One who charms,
ALKA,Noble,
ALLEGRA,Cheerful,
ALLEN,From the name ALAN,
ALLENE,Attractive,
ALLIE,From the name ALISON,
ALLISON,From the name ALISON,
ALLYSON,From the name ALICE,
ALMA,Soul,
ALMEDA,Ambitious,
ALOHILANI,Shining Star from Heaven,
ALPHONSE,Eager,
ALSATIA,From Alsace-Loraine area of France,
ALTHEA,Healer,
ALVA,Fair Complected,
ALVIN,Noble Friend,
ALYN,Fem. form of ALAN,
ALYSON,From the name ALICE,
ALYSSA,From the name ALICE,
AMADEUS,Love of God,
AMADOR,Lover,
AMALIA,Hardworking,
AMALIE,Hard Worker,
AMAN,Trustworthy (Af),
AMANA,Faithful,
AMANDA,Worthy of Love,
AMANDLA,Power (Af),
AMARA,Eternal,
AMARANTA,Flower that Never Fades,
AMARANTE,Flower that Never Fades,
AMARANTH,Immortal,
AMARIS,Promised by God,
AMARYLLIS,Species of Flowers,
AMAYA,Night Rain,
AMBER,Amber Colored / Red,
AMBROSE,Immortal (Gk),
AMELIA,Work of the Lord,
AMENA,Honest Woman,
AMI,Friend,
AMIEL,God of my People (Hb),
AMINA,From the name AMENA,
AMIR,From the Top of the Tree OR Prince,
AMIRI,Prince (Af),
AMITY,Friendship,
AMMA,Godlike,
AMORINA,Love,
AMOS,To Be Troubled,
AMY,Beloved,
AN,Peace,
ANA,Gracious,
ANAIS,Graceful,
ANALIESE,FROM ANNA & LISA,
ANALISE,From ANALIESE,
ANANA,Soft,
ANANDO,Bliss (Af),
ANASTASIA,Resurrection,
ANATOLA,From the East (Gk),
ANATOLE,East,
ANDE,Pillar (Af),
ANDRA,Strong & Courageous,
ANDRALYN,FROM ANDRA & LYN,
ANDRE,From the name ANDREW (Fr),
ANDREA,From the name ANDREW,
ANDREAS,Fisherman,
ANDRES,From the name ANDREW (Sp),
ANDREW,Manly,
ANDY,From the name ANDREW,
ANEMONE,Breath,
ANEVAY,Superior (Nat.Am),
ANGEL,Angelic,
ANGELA,Angelic (It),
ANGELICA,Angelic (It),
ANGELINA,Angelic (Sp),
ANGELO,Angelic (It),
ANGIE,From ANGELA,
ANGUS,Unique Strength,
ANI,Beautiful (HI),
ANIKA,Very Beautiful,
ANILA,Children of the Wind (Hn),
ANISA,Joy,
ANITA,Gracious,
ANITRA,Gracious,
ANJA,Grace of God,
ANLON,Great Champion,
ANN,From the name ANNA,
ANNA,Gracious,
ANNALISE,Gracious & Consecreted to God,
ANNAMIKA,Grace,
ANNE,From the name ANNA,
ANNEKE,Little Ann,
ANNETTE,Gracious,
ANNICE,From AGNES,
ANNICK,Gracious,
ANNIS,From AGNES,
ANNISSA,From the name ANN,
ANNORA,With Honor,
ANTHEA,Flowerlike (Gk),
ANTHONY,Worthy of Praise,
ANTIONETTE,From the name ANTONIA,
ANTOINETTE,Flourishing,
ANTONIA,Fem. form of ANTHONY,
ANTONIE,Fem. form of ANTHONY,
ANTONY,Praiseworthy,
ANWAR,The Brightest (Af),
ANYA,From the name ANNA (Rs),
AOKO,Outside (Af),
AOLANI,Cloud from Heaven (HI),
APHRODITE,Goddess of Love,
APOLLO,God of the Sun (Gk),
APPOLLO,Manly Beauty (Gk),
APRIA,From the Apricot,
APRIL,Opening (as in Spring),
ARABELA,Beautiful Altar,
ARABELLA,Beautiful Altar,
ARAM,High,
ARAN,Forest (Tk),
ARCHIBALD,Very Bold,
ARCHIE,From the name ARCHIBALD,
AREN,Eagle, Peace
ARETHA,The Best,
ARGUS,Vigilant,
ARI,From the name ARIEL,
ARIA,Melody,
ARIANA,Like A Beautiful Melody,
ARIEL,Ethereal,
ARIELLA,Lioness of God,
ARIELLE,Lioness of God,
ARIEN,Enchanted,
ARISSA,Sowing the Fields,
